x,y,z
-1.0338588617742062,-43.01876574754715,-66.57316535711288
-66.36383384466171,-30.96345253288746,6.779151037335396
-66.30486994981766,-28.464168310165405,7.68710020929575
-66.35095179080963,-37.76601329445839,-5.55154075846076
-66.11647456884384,-29.003769159317017,5.308171268552542
-65.94905257225037,-36.67605295777321,-4.296723287552595
-65.70245325565338,-33.212509006261826,5.905794445425272
-65.66056609153748,-35.75093299150467,-5.747123621404171
-65.48052281141281,-24.12240579724312,7.3167430236935616
-65.69726765155792,-18.972493708133698,1.4070504112169147
-65.49735367298126,-39.469730108976364,-6.078305188566446
-65.76678901910782,-22.103602066636086,-15.133460983633995
-65.74299931526184,-21.088479086756706,1.2475562980398536
-65.43368846178055,-34.50652211904526,7.360342890024185
-65.39717316627502,-31.17254003882408,8.469713851809502
-65.41770696640015,-26.25437080860138,8.759411051869392
-65.83355367183685,-19.976265728473663,-14.386966824531555
-65.51030278205872,-26.709502562880516,5.906844511628151
-65.66283106803894,-26.58354490995407,-13.070586137473583
-65.46638906002045,-35.71533039212227,5.797442048788071
-65.53452461957932,-39.348360151052475,-8.059742860496044
-65.53120911121368,-19.227951765060425,3.498085541650653
-65.46385586261749,-31.750895082950592,3.900698618963361
-65.5844435095787,-24.55097809433937,-12.330705299973488
-65.39508700370789,-21.81345783174038,6.205864250659943
-65.26383757591248,-27.843764051795006,10.037537664175034
-65.42599946260452,-37.217963486909866,-7.419076282531023
-65.51017612218857,-22.446980699896812,2.745384816080332
-65.36396592855453,-34.94299203157425,-3.5662834998220205
-65.3618723154068,-33.468395471572876,-5.200325511395931
-65.40551781654358,-21.62877656519413,-12.99846637994051
-65.24068862199783,-29.702922329306602,3.570122178643942
-65.32853841781616,-25.569388642907143,-14.901201240718365
-65.03762304782867,-24.323154240846634,9.222960099577904
-64.99040871858597,-38.768112659454346,-4.325706046074629
-65.27479737997055,-18.046027049422264,-13.453638181090355
-64.76323306560516,-33.082880079746246,8.544716984033585
-64.7740587592125,-37.1357798576355,8.58382135629654
-64.87759202718735,-23.791270330548286,5.269714631140232
-64.79750573635101,-41.26470535993576,-6.586269475519657
-64.9496540427208,-18.970811739563942,-0.37292783963494003
-64.51065093278885,-29.636206105351448,9.337176568806171
-64.61705267429352,-41.44084081053734,-4.604427143931389
-64.82324749231339,-28.28139066696167,-15.262143686413765
-64.02093917131424,-11.796173639595509,16.245095059275627
-64.4654631614685,-39.386678487062454,11.262625455856323
-64.56166505813599,-20.18069289624691,5.105773452669382
-64.40780311822891,-40.09207338094711,13.392203487455845
-64.42297995090485,-37.828706204891205,12.988841161131859
-64.90073353052139,-21.932655945420265,-17.059452831745148
-64.06073272228241,-8.824959397315979,19.04783770442009
-64.48965519666672,-41.52500256896019,11.777151376008987
-64.53631073236465,-40.08336365222931,8.953218348324299
-64.01220709085464,-13.064319267868996,22.131025791168213
-64.62690234184265,-17.56800338625908,2.6147852186113596
-64.76563215255737,-15.29207918792963,-0.9903889149427414
-64.05038386583328,-15.017813071608543,20.097175613045692
-64.08815085887909,-15.36270696669817,22.32702262699604
-64.00313228368759,-13.25288787484169,18.043389543890953
-64.08804655075073,-10.275512002408504,14.582304283976555
-64.54169005155563,-46.41730338335037,-0.554993748664856
-64.08020108938217,-14.035794883966446,23.813197389245033
-64.80281800031662,-23.972827941179276,-16.435548663139343
-64.71206247806549,-17.13879033923149,0.38502400275319815
-64.04706835746765,-9.517347440123558,16.77917130291462
-64.55209106206894,-44.550199061632156,-1.8685887334868312
-64.14338946342468,-27.108166366815567,25.44092945754528
-64.41260874271393,-35.09277105331421,9.032356552779675
-64.77008014917374,-26.02391503751278,-17.555445432662964
-64.41623717546463,-21.896474063396454,8.124232292175293
-64.49688971042633,-38.79501298069954,6.167366169393063
-64.37402218580246,-43.96841302514076,13.29005230218172
-64.75742906332016,-21.848730742931366,-0.5982278380542994
-64.65575844049454,-23.402340710163116,-13.650410808622837
-64.44007903337479,-42.50044375658035,-2.683530328795314
-63.94316256046295,-14.078010804951191,15.775691717863083
-63.95314633846283,-15.612848103046417,17.37917773425579
-64.64103609323502,-22.885341197252274,1.026175101287663
-64.1598105430603,-40.77954962849617,15.518410131335258
-63.928499817848206,-25.740116834640503,26.870327070355415
-64.40874934196472,-27.9583428055048,4.259947221726179
-64.31550532579422,-47.02577367424965,1.3957725604996085
-64.13114070892334,-38.65338861942291,14.985685236752033
-64.32949006557465,-36.719225347042084,-4.393678158521652
-64.5752027630806,-17.432909458875656,-1.8743493128567934
-64.35149908065796,-15.466639772057533,2.4925507605075836
-64.68848139047623,-18.996011465787888,-15.974074602127075
-64.27624076604843,-41.98957234621048,-8.369195275008678
-64.19204920530319,-18.061116337776184,4.774709232151508
-63.9462023973465,-42.85922273993492,15.01891016960144
-64.43020701408386,-19.747212529182434,-2.09759920835495
-63.56935203075409,-11.999106965959072,23.85707199573517
-64.2094761133194,-14.499139972031116,0.7909498526714742
-64.2903596162796,-27.89447084069252,-12.34205812215805
-64.21427428722382,-25.875549763441086,-11.8858702480793
-64.27368521690369,-19.82429251074791,-13.168010860681534
-63.904352486133575,-49.029264599084854,1.0142337996512651
-63.78832459449768,-44.83899846673012,14.899082481861115
-63.475243747234344,-12.910653837025166,13.950036838650703
-63.27005475759506,-10.97420696169138,18.36870051920414
-64.07642364501953,-31.820647418498993,-4.35793399810791
-64.30195271968842,-16.130385920405388,-11.867317371070385
-63.95760923624039,-35.67355126142502,-7.431535981595516
-63.702672719955444,-25.943100452423096,10.17587911337614
-63.951507210731506,-38.073521107435226,-8.792387321591377
-63.72927129268646,-20.123571157455444,7.04555818811059
-63.30493837594986,-13.593185693025589,25.54665319621563
-63.84517252445221,-42.356472462415695,-10.418767109513283
-63.826434314250946,-25.331292301416397,4.0476094000041485
-63.30858916044235,-10.878133587539196,12.485732324421406
-63.21357190608978,-7.62832909822464,17.49919168651104
-63.48075717687607,-36.98055446147919,14.341451227664948
-63.01729381084442,-12.481506913900375,20.05063183605671
-63.59908729791641,-48.12954366207123,-1.7499789828434587
-63.92243504524231,-28.83087657392025,-18.336253240704536
-63.223764300346375,-8.810986764729023,13.319626450538635
-63.130490481853485,-24.907657876610756,33.12413766980171
-63.14500421285629,-24.042971432209015,30.8535136282444
-63.940614461898804,-25.158032774925232,-19.185150042176247
-63.12841922044754,-26.283608749508858,29.944436624646187
-63.95503133535385,-23.312488570809364,-18.42298172414303
-63.09860944747925,-8.435647934675217,21.473601460456848
-62.99332529306412,-10.43304055929184,21.229099482297897
-63.32385540008545,-28.339460492134094,22.416885942220688
-63.06599825620651,-9.890533052384853,23.538153618574142
-63.146620988845825,-10.806060396134853,25.4988856613636
-63.120774924755096,-26.577075943350792,31.940359622240067
-63.1965771317482,-7.704055402427912,23.34032766520977
-63.882291316986084,-13.76697700470686,-2.443993464112282
-63.22158873081207,-8.635184727609158,25.32150223851204
-63.873715698719025,-30.489474534988403,-5.902585107833147
-63.44646215438843,-37.24323585629463,11.094137094914913
-63.71971219778061,-40.24333134293556,-10.60954388231039
-63.12602758407593,-24.309460073709488,28.600990772247314
-63.682183623313904,-12.909170240163803,-0.2727618848439306
-63.40545415878296,-23.256927728652954,9.453853592276573
-63.04866820573807,-8.030585013329983,15.374158509075642
-63.79342079162598,-30.836360529065132,-15.813179314136505
-63.0856454372406,-22.30338379740715,30.316062271595
-63.98578733205795,-14.387915842235088,-12.69915048032999
-63.777610659599304,-28.67567166686058,-7.98348244279623
-63.45664709806442,-16.16731658577919,4.042375832796097
-63.581496477127075,-43.5992106795311,-11.972933076322079
-63.00761550664902,-16.67366921901703,23.759568110108376
-63.02907317876816,-28.713848441839218,25.106223300099373
-63.28028440475464,-28.047367930412292,9.942792356014252
-63.03019821643829,-26.083946228027344,24.189144372940063
-63.35807591676712,-43.690405786037445,-4.113847855478525
-63.585393130779266,-11.419542133808136,-2.174545545130968
